Zaloznik,zanr1,zanr2,esbr
Collecting,General,Application,E
Bungie,First-Person,Arcade,T
Visual,Sim,Sim,E
Guerrilla,Role-Playing,Action RPG,T
Visual,Sim,Sim,E
NetherRealm,Fighting,2D,T
4J,Fantasy,Fantasy,
From,Action RPG,Action RPG,M
Eric,Role-Playing,General,
Ubisoft,Fantasy,Linear,T
Giant,3D,First-Person,
Pam,Traditional,Tennis,E
Visual,Basketball,Sim,E
EA,Golf,Sim,E
Ubisoft,Action Adventure,Modern,T
Treyarch,Ice Hockey,Sim,E
NuFX,Basketball,Arcade,E
PopTop,Management,Tycoon,E
Criterion,Arcade,Automobile,
Studio,Futuristic,Futuristic,E
Harmonix,Music,Music,T
Firaxis,Turn-Based,Tactics,T
Bethesda,Role-Playing,Western-Style,M
New,First-Person,Arcade,
EA,Golf,Sim,E
Microsoft,Civilian Plane,Civilian,E
Electronic,Basketball,Arcade,E
Creative,General,Historic,T
Sega,Action Adventure,Modern,T
Page,Ice Hockey,Sim,E
Left,Motorcycle,Motocross,E
Namco,Racing,Arcade,
Chair,Sci-Fi,Arcade,T
Mossmouth,2D,2D,T
EA,Basketball,Arcade,E
Illusion,Historic,Open-World,M
Metanet,Platformer,2D,
Infinity,Modern,Arcade,M
Giant,3D,First-Person,T
Gearbox,First-Person,Historic,M
From,Action Adventure,General,M
Eidos,Sci-Fi,General,M
EA,Football,Sim,E
Arkane,General,Modern,M
PLAYDEAD,2D,2D,T
Vlambeer,Shooter,Top-Down,
Paradox,General,Historic,
Ubisoft,Historic,Open-World,M
Naughty,Racing,Kart,E
FreeStyleGames,Music,Music,T
Zen,Pinball,Pinball,E
EA,First-Person,Historic,T
Milestone,Street,Street,E
Anchor,Fighting,3D,T
MachineGames,First-Person,Arcade,M
Nintendo,Kart,Automobile,E
Nintendo,Platformer,2D,E
Electronic,Sim,Sim,
Larian,Action RPG,Western-Style,M
EA,Sci-Fi,Arcade,M
Namco,Fighting,3D,T
Monolith,Modern,Arcade,M
Double,Platformer,3D,T
Nicalis,Survival,Top-Down,M
EA,Soccer,Sim,E
EA,Sim,Sim,
2K,Sci-Fi,Arcade,M
SQUADTeam,Space,Combat,
